Time,Tensile strain (Strain 1),Tensile stress
(s),(%),(MPa)
0,0,0
0.1,0.01,10
0.2,0.02,20
0.3,0.03,30
0.4,0.04,40
0.5,0.05,50
0.6,0.06,60
0.7,0.07,70
0.8,0.08,80
0.9,0.09,90
1,0.1,100
1.1,0.11,110
1.2,0.12,120
1.3,0.13,130
1.4,0.14,140
1.5,0.15,150
1.6,0.16,160
1.7,0.17,170
1.8,0.18,180
1.9,0.19,190
2,0.2,200
2.1,0.21,210
2.2,0.22,220
2.3,0.23,230
2.4,0.24,240
2.5,0.25,250
2.6,0.26,260
2.7,0.27,270
2.8,0.28,280
2.9,0.29,290
3,0.3,300
3.1,0.31,310
3.2,0.32,320
3.3,0.33,330
3.4,0.34,340
3.5,0.35,350
3.6,0.36,360
3.7,0.37,370
3.8,0.38,380
3.9,0.39,390
4,0.4,400
4.1,0.41,410
4.2,0.42,420
4.3,0.43,430
4.4,0.44,440
4.5,0.45,450
4.6,0.46,459.083437
4.7,0.47,459.915637
4.8,0.48,460.743916
4.9,0.49,461.56829
5,0.5,462.388778
5.1,0.51,463.205399
5.2,0.52,464.01817
5.3,0.53,464.82711
5.4,0.54,465.632238
5.5,0.55,466.43357
5.6,0.56,467.231125
5.7,0.57,468.024921
5.8,0.58,468.814975
5.9,0.59,469.601305
6,0.6,470.383928
6.1,0.61,471.162863
6.2,0.62,471.938125
6.3,0.63,472.709734
6.4,0.64,473.477706
6.5,0.65,474.242057
6.6,0.66,475.002806
6.7,0.67,475.759969
6.8,0.68,476.513562
6.9,0.69,477.263604
7,0.7,478.01011
7.1,0.71,478.753098
7.2,0.72,479.492583
7.3,0.73,480.228582
7.4,0.74,480.961113
7.5,0.75,481.69019
7.6,0.76,482.415831
7.7,0.77,483.138052
7.8,0.78,483.856868
7.9,0.79,484.572296
8,0.8,485.284351
8.1,0.81,485.993051
8.2,0.82,486.698409
8.3,0.83,487.400443
8.4,0.84,488.099168
8.5,0.85,488.794599
8.6,0.86,489.486753
8.7,0.87,490.175643
8.8,0.88,490.861287
8.9,0.89,491.543699
9,0.9,492.222894
9.1,0.91,492.898887
9.2,0.92,493.571694
9.3,0.93,494.24133
9.4,0.94,494.907809
9.5,0.95,495.571147
9.6,0.96,496.231358
9.7,0.97,496.888457
9.8,0.98,497.542459
9.9,0.99,498.193378
10,1,498.841229
10.660417,1.066042,503.043737
11.320833,1.132083,507.117138
11.98125,1.198125,511.065399
12.641667,1.264167,514.892363
13.302083,1.330208,518.601757
13.9625,1.39625,522.197194
14.622917,1.462292,525.682173
15.283333,1.528333,529.060089
15.94375,1.594375,532.33423
16.604167,1.660417,535.507785
17.264583,1.726458,538.583844
17.925,1.7925,541.565401
18.585417,1.858542,544.455361
19.245833,1.924583,547.256537
19.90625,1.990625,549.971657
20.566667,2.056667,552.603365
21.227083,2.122708,555.154223
21.8875,2.18875,557.626714
22.547917,2.254792,560.023248
23.208333,2.320833,562.346156
23.86875,2.386875,564.597701
24.529167,2.452917,566.780075
25.189583,2.518958,568.895404
25.85,2.585,570.945747
26.510417,2.651042,572.9331
27.170833,2.717083,574.859399
27.83125,2.783125,576.726519
28.491667,2.849167,578.536278
29.152083,2.915208,580.290439
29.8125,2.98125,581.99071
30.472917,3.047292,583.638746
31.133333,3.113333,585.236152
31.79375,3.179375,586.784483
32.454167,3.245417,588.285248
33.114583,3.311458,589.739906
33.775,3.3775,591.149876
34.435417,3.443542,592.516529
35.095833,3.509583,593.841196
35.75625,3.575625,595.125168
36.416667,3.641667,596.369695
37.077083,3.707708,597.575987
37.7375,3.77375,598.745221
38.397917,3.839792,599.878534
39.058333,3.905833,600.97703
39.71875,3.971875,602.041779
40.379167,4.037917,603.073817
41.039583,4.103958,604.074149
41.7,4.17,605.04375
42.360417,4.236042,605.983563
43.020833,4.302083,606.894504
43.68125,4.368125,607.777459
44.341667,4.434167,608.633289
45.002083,4.500208,609.462827
45.6625,4.56625,610.266879
46.322917,4.632292,611.04623
46.983333,4.698333,611.801639
47.64375,4.764375,612.53384
48.304167,4.830417,613.243547
48.964583,4.896458,613.93145
49.625,4.9625,614.59822
50.285417,5.028542,615.244506
50.945833,5.094583,615.870938
51.60625,5.160625,616.478124
52.266667,5.226667,617.066657
52.927083,5.292708,617.637109
53.5875,5.35875,618.190036
54.247917,5.424792,618.725976
54.908333,5.490833,619.245451
55.56875,5.556875,619.748968
56.229167,5.622917,620.237015
56.889583,5.688958,620.710069
57.55,5.755,621.168591
58.210417,5.821042,621.613025
58.870833,5.887083,622.043807
59.53125,5.953125,622.461353
60.191667,6.019167,622.866073
60.852083,6.085208,623.258358
61.5125,6.15125,623.638592
62.172917,6.217292,624.007145
62.833333,6.283333,624.364375
63.49375,6.349375,624.710631
64.154167,6.415417,625.046249
64.814583,6.481458,625.371557
65.475,6.5475,625.68687
66.135417,6.613542,625.992497
66.795833,6.679583,626.288734
67.45625,6.745625,626.575871
68.116667,6.811667,626.854186
68.777083,6.877708,627.123951
69.4375,6.94375,627.385428
70.097917,7.009792,627.638873
70.758333,7.075833,627.884531
71.41875,7.141875,628.122643
72.079167,7.207917,628.353439
72.739583,7.273958,628.577145
73.4,7.34,628.793978
74.060417,7.406042,629.00415
74.720833,7.472083,629.207865
75.38125,7.538125,629.405321
76.041667,7.604167,629.596712
76.702083,7.670208,629.782223
77.3625,7.73625,629.962034
78.022917,7.802292,630.136322
78.683333,7.868333,630.305255
79.34375,7.934375,630.468998
80.004167,8.000417,630.627711
80.664583,8.066458,630.781548
81.325,8.1325,630.930658
81.985417,8.198542,631.075188
82.645833,8.264583,631.215278
83.30625,8.330625,631.351064
83.966667,8.396667,631.482678
84.627083,8.462708,631.610249
85.2875,8.52875,631.733901
85.947917,8.594792,631.853754
86.608333,8.660833,631.969926
87.26875,8.726875,632.082528
87.929167,8.792917,632.19167
88.589583,8.858958,632.29746
89.25,8.925,632.4
90.628125,9.062812,631.84765
92.00625,9.200625,630.94234
93.384375,9.338438,629.828515
94.7625,9.47625,628.553213
96.140625,9.614063,627.142586
97.51875,9.751875,625.613811
98.896875,9.889688,623.979237
100.275,10.0275,622.248267
101.653125,10.165313,620.428358
103.03125,10.303125,618.5256
104.409375,10.440938,616.545084
105.7875,10.57875,614.49114
107.165625,10.716563,612.367512
108.54375,10.854375,610.177473
109.921875,10.992188,607.923915
111.3,11.13,605.609416
112.678125,11.267813,603.236296
114.05625,11.405625,600.806648
115.434375,11.543438,598.322381
116.8125,11.68125,595.78524
118.190625,11.819063,593.196828
119.56875,11.956875,590.558625
120.946875,12.094688,587.872002
122.325,12.2325,585.138235
123.703125,12.370313,582.358512
125.08125,12.508125,579.533947
126.459375,12.645938,576.665582
127.8375,12.78375,573.754399
129.215625,12.921563,570.801321
130.59375,13.059375,567.807223
131.971875,13.197188,564.77293
133.35,13.335,561.699226
134.728125,13.472812,558.586854
136.10625,13.610625,555.436523
137.484375,13.748438,552.248905
138.8625,13.88625,549.024644
140.240625,14.024063,545.764355
141.61875,14.161875,542.468625
142.996875,14.299688,539.138016
144.375,14.4375,535.773069
145.753125,14.575313,532.3743
147.13125,14.713125,528.942208
148.509375,14.850938,525.477271
149.8875,14.98875,521.979948
151.265625,15.126563,518.450685
152.64375,15.264375,514.889909
154.021875,15.402188,511.298032
155.4,15.54,507.675454
156.778125,15.677813,504.02256
158.15625,15.815625,500.339723
159.534375,15.953437,496.627303
160.9125,16.09125,492.88565
162.290625,16.229063,489.115103
163.66875,16.366875,485.31599
165.046875,16.504687,481.488629
166.425,16.6425,477.633331
167.803125,16.780313,473.750394
169.18125,16.918125,469.840113
170.559375,17.055938,465.902769
171.9375,17.19375,461.93864
173.315625,17.331563,457.947994
174.69375,17.469375,453.931093
176.071875,17.607188,449.888192
177.45,17.745,445.819539
178.828125,17.882813,441.725376
180.20625,18.020625,437.60594
181.584375,18.158438,433.461462
182.9625,18.29625,429.292165
184.340625,18.434062,425.09827
185.71875,18.571875,420.879992
187.096875,18.709688,416.637539
188.475,18.8475,412.371117
189.853125,18.985313,408.080926
191.23125,19.123125,403.767163
192.609375,19.260938,399.430017
193.9875,19.39875,395.069678
195.365625,19.536563,390.686329
196.74375,19.674375,386.28015
198.121875,19.812188,381.851316
199.5,19.95,75.48
