Time,Tensile strain (Strain 1),Tensile stress
(s),(%),(MPa)
0,0,0
0.1,0.01,7
0.2,0.02,14
0.3,0.03,21
0.4,0.04,28
0.5,0.05,35
0.6,0.06,42
0.7,0.07,49
0.8,0.08,56
0.9,0.09,63
1,0.1,70
1.1,0.11,77
1.2,0.12,84
1.3,0.13,91
1.4,0.14,98
1.5,0.15,105
1.6,0.16,112
1.7,0.17,119
1.8,0.18,126
1.9,0.19,133
2,0.2,140
2.1,0.21,147
2.2,0.22,154
2.3,0.23,161
2.4,0.24,168
2.5,0.25,175
2.6,0.26,182
2.7,0.27,189
2.8,0.28,196
2.9,0.29,203
3,0.3,210
3.1,0.31,217
3.2,0.32,224
3.3,0.33,231
3.4,0.34,238
3.5,0.35,245
3.6,0.36,252
3.7,0.37,259
3.8,0.38,266
3.9,0.39,273
4,0.4,275.708729
4.1,0.41,276.177361
4.2,0.42,276.644582
4.3,0.43,277.110394
4.4,0.44,277.574804
4.5,0.45,278.037814
4.6,0.46,278.499429
4.7,0.47,278.959653
4.8,0.48,279.418491
4.9,0.49,279.875946
5,0.5,280.332023
5.1,0.51,280.786726
5.2,0.52,281.24006
5.3,0.53,281.692027
5.4,0.54,282.142632
5.5,0.55,282.59188
5.6,0.56,283.039775
5.7,0.57,283.48632
5.8,0.58,283.93152
5.9,0.59,284.375378
6,0.6,284.817899
6.1,0.61,285.259087
6.2,0.62,285.698946
6.3,0.63,286.137479
6.4,0.64,286.574692
6.5,0.65,287.010587
6.6,0.66,287.445168
6.7,0.67,287.878441
6.8,0.68,288.310408
6.9,0.69,288.741073
7,0.7,289.170441
7.1,0.71,289.598516
7.2,0.72,290.0253
7.3,0.73,290.450799
7.4,0.74,290.875016
7.5,0.75,291.297955
7.6,0.76,291.71962
7.7,0.77,292.140014
7.8,0.78,292.559142
7.9,0.79,292.977007
8,0.8,293.393613
8.1,0.81,293.808963
8.2,0.82,294.223063
8.3,0.83,294.635915
8.4,0.84,295.047523
8.5,0.85,295.45789
8.6,0.86,295.867022
8.7,0.87,296.274921
8.8,0.88,296.681591
8.9,0.89,297.087035
9,0.9,297.491258
9.1,0.91,297.894264
9.2,0.92,298.296055
9.3,0.93,298.696635
9.4,0.94,299.096009
9.5,0.95,299.49418
9.6,0.96,299.891151
9.7,0.97,300.286925
9.8,0.98,300.681508
9.9,0.99,301.074901
10,1,301.46711
11.054167,1.105417,305.53044
12.108333,1.210833,309.466556
13.1625,1.31625,313.279443
14.216667,1.421667,316.972957
15.270833,1.527083,320.550837
16.325,1.6325,324.016702
17.379167,1.737917,327.374058
18.433333,1.843333,330.626305
19.4875,1.94875,333.776731
20.541667,2.054167,336.828525
21.595833,2.159583,339.784775
22.65,2.265,342.648472
23.704167,2.370417,345.422514
24.758333,2.475833,348.109707
25.8125,2.58125,350.71277
26.866667,2.686667,353.234338
27.920833,2.792083,355.676962
28.975,2.8975,358.043113
30.029167,3.002917,360.335186
31.083333,3.108333,362.555499
32.1375,3.21375,364.7063
33.191667,3.319167,366.789765
34.245833,3.424583,368.808001
35.3,3.53,370.763052
36.354167,3.635417,372.656894
37.408333,3.740833,374.491445
38.4625,3.84625,376.26856
39.516667,3.951667,377.990039
40.570833,4.057083,379.657622
41.625,4.1625,381.272997
42.679167,4.267917,382.837799
43.733333,4.373333,384.35361
44.7875,4.47875,385.821965
45.841667,4.584167,387.24435
46.895833,4.689583,388.622203
47.95,4.795,389.956919
49.004167,4.900417,391.249848
50.058333,5.005833,392.502299
51.1125,5.11125,393.715538
52.166667,5.216667,394.890794
53.220833,5.322083,396.029256
54.275,5.4275,397.132075
55.329167,5.532917,398.200367
56.383333,5.638333,399.235214
57.4375,5.74375,400.237662
58.491667,5.849167,401.208726
59.545833,5.954583,402.149389
60.6,6.06,403.060601
61.654167,6.165417,403.943286
62.708333,6.270833,404.798336
63.7625,6.37625,405.626617
64.816667,6.481667,406.428966
65.870833,6.587083,407.206195
66.925,6.6925,407.959092
67.979167,6.797917,408.688417
69.033333,6.903333,409.394908
70.0875,7.00875,410.079281
71.141667,7.114167,410.742228
72.195833,7.219583,411.38442
73.25,7.325,412.006506
74.304167,7.430417,412.609116
75.358333,7.535833,413.19286
76.4125,7.64125,413.758329
77.466667,7.746667,414.306094
78.520833,7.852083,414.836709
79.575,7.9575,415.350713
80.629167,8.062917,415.848624
81.683333,8.168333,416.330947
82.7375,8.27375,416.798169
83.791667,8.379167,417.250764
84.845833,8.484583,417.68919
85.9,8.59,418.113889
86.954167,8.695417,418.525292
88.008333,8.800833,418.923815
89.0625,8.90625,419.309861
90.116667,9.011667,419.683821
91.170833,9.117083,420.046073
92.225,9.2225,420.396984
93.279167,9.327917,420.736909
94.333333,9.433333,421.066191
95.3875,9.53875,421.385165
96.441667,9.644167,421.694152
97.495833,9.749583,421.993466
98.55,9.855,422.283409
99.604167,9.960417,422.564274
100.658333,10.065833,422.836346
101.7125,10.17125,423.099901
102.766667,10.276667,423.355204
103.820833,10.382083,423.602514
104.875,10.4875,423.842081
105.929167,10.592917,424.074148
106.983333,10.698333,424.29895
108.0375,10.80375,424.516714
109.091667,10.909167,424.72766
110.145833,11.014583,424.932002
111.2,11.12,425.129946
112.254167,11.225417,425.321693
113.308333,11.330833,425.507438
114.3625,11.43625,425.687366
115.416667,11.541667,425.861662
116.470833,11.647083,426.030501
117.525,11.7525,426.194054
118.579167,11.857917,426.352487
119.633333,11.963333,426.505959
120.6875,12.06875,426.654627
121.741667,12.174167,426.79864
122.795833,12.279583,426.938145
123.85,12.385,427.073282
124.904167,12.490417,427.204188
125.958333,12.595833,427.330996
127.0125,12.70125,427.453833
128.066667,12.806667,427.572825
129.120833,12.912083,427.688092
130.175,13.0175,427.79975
131.229167,13.122917,427.907912
132.283333,13.228333,428.012688
133.3375,13.33375,428.114184
134.391667,13.439167,428.212502
135.445833,13.544583,428.307742
136.5,13.65,428.4
138.46875,13.846875,428.06859
140.4375,14.04375,427.525404
142.40625,14.240625,426.857109
144.375,14.4375,426.091928
146.34375,14.634375,425.245551
148.3125,14.83125,424.328287
150.28125,15.028125,423.347542
152.25,15.225,422.30896
154.21875,15.421875,421.217015
156.1875,15.61875,420.07536
158.15625,15.815625,418.88705
160.125,16.0125,417.654684
162.09375,16.209375,416.380507
164.0625,16.40625,415.066484
166.03125,16.603125,413.714349
168,16.8,412.32565
169.96875,16.996875,410.901777
171.9375,17.19375,409.443989
173.90625,17.390625,407.953429
175.875,17.5875,406.431144
177.84375,17.784375,404.878097
179.8125,17.98125,403.295175
181.78125,18.178125,401.683201
183.75,18.375,400.042941
185.71875,18.571875,398.375107
187.6875,18.76875,396.680368
189.65625,18.965625,394.959349
191.625,19.1625,393.212639
193.59375,19.359375,391.440793
195.5625,19.55625,389.644334
197.53125,19.753125,387.823758
199.5,19.95,385.979536
201.46875,20.146875,384.112113
203.4375,20.34375,382.221914
205.40625,20.540625,380.309343
207.375,20.7375,378.374787
209.34375,20.934375,376.418613
211.3125,21.13125,374.441175
213.28125,21.328125,372.44281
215.25,21.525,370.423841
217.21875,21.721875,368.38458
219.1875,21.91875,366.325325
221.15625,22.115625,364.246362
223.125,22.3125,362.147969
225.09375,22.509375,360.030411
227.0625,22.70625,357.893945
229.03125,22.903125,355.738819
231,23.1,353.565273
232.96875,23.296875,351.373536
234.9375,23.49375,349.163834
236.90625,23.690625,346.936382
238.875,23.8875,344.69139
240.84375,24.084375,342.429062
242.8125,24.28125,340.149594
244.78125,24.478125,337.853178
246.75,24.675,335.539998
248.71875,24.871875,333.210237
250.6875,25.06875,330.864068
252.65625,25.265625,328.501661
254.625,25.4625,326.123184
256.59375,25.659375,323.728796
258.5625,25.85625,321.318656
260.53125,26.053125,318.892915
262.5,26.25,316.451723
264.46875,26.446875,313.995226
266.4375,26.64375,311.523564
268.40625,26.840625,309.036877
270.375,27.0375,306.535299
272.34375,27.234375,304.018962
274.3125,27.43125,301.487995
276.28125,27.628125,298.942523
278.25,27.825,296.38267
280.21875,28.021875,293.808556
282.1875,28.21875,291.220298
284.15625,28.415625,288.61801
286.125,28.6125,286.001807
288.09375,28.809375,283.371798
290.0625,29.00625,280.72809
292.03125,29.203125,278.070789
294,29.4,55.08
