Time,Tensile strain (Strain 1),Tensile stress
(s),(%),(MPa)
0,0,0
0.1,0.01,12
0.2,0.02,24
0.3,0.03,36
0.4,0.04,48
0.5,0.05,60
0.6,0.06,72
0.7,0.07,84
0.8,0.08,96
0.9,0.09,108
1,0.1,120
1.1,0.11,132
1.2,0.12,144
1.3,0.13,156
1.4,0.14,168
1.5,0.15,180
1.6,0.16,192
1.7,0.17,204
1.8,0.18,216
1.9,0.19,228
2,0.2,240
2.1,0.21,252
2.2,0.22,264
2.3,0.23,276
2.4,0.24,288
2.5,0.25,300
2.6,0.26,312
2.7,0.27,324
2.8,0.28,336
2.9,0.29,348
3,0.3,360
3.1,0.31,372
3.2,0.32,384
3.3,0.33,396
3.4,0.34,408
3.5,0.35,420
3.6,0.36,432
3.7,0.37,444
3.8,0.38,456
3.9,0.39,468
4,0.4,480
4.1,0.41,492
4.2,0.42,504
4.3,0.43,516
4.4,0.44,528
4.5,0.45,540
4.6,0.46,552
4.7,0.47,564
4.8,0.48,576
4.9,0.49,588
5,0.5,600
5.1,0.51,612
5.2,0.52,624
5.3,0.53,636
5.4,0.54,648
5.5,0.55,651.24037
5.6,0.56,652.718851
5.7,0.57,654.186536
5.8,0.58,655.643505
5.9,0.59,657.089836
6,0.6,658.525607
6.1,0.61,659.950894
6.2,0.62,661.365775
6.3,0.63,662.770325
6.4,0.64,664.16462
6.5,0.65,665.548734
6.6,0.66,666.922743
6.7,0.67,668.286719
6.8,0.68,669.640736
6.9,0.69,670.984867
7,0.7,672.319183
7.1,0.71,673.643758
7.2,0.72,674.958661
7.3,0.73,676.263963
7.4,0.74,677.559734
7.5,0.75,678.846045
7.6,0.76,680.122964
7.7,0.77,681.390559
7.8,0.78,682.648899
7.9,0.79,683.898051
8,0.8,685.138083
8.1,0.81,686.36906
8.2,0.82,687.59105
8.3,0.83,688.804117
8.4,0.84,690.008327
8.5,0.85,691.203745
8.6,0.86,692.390434
8.7,0.87,693.568459
8.8,0.88,694.737883
8.9,0.89,695.898768
9,0.9,697.051177
9.1,0.91,698.195171
9.2,0.92,699.330813
9.3,0.93,700.458163
9.4,0.94,701.577282
9.5,0.95,702.688229
9.6,0.96,703.791065
9.7,0.97,704.885849
9.8,0.98,705.972639
9.9,0.99,707.051494
10,1,708.122472
10.416667,1.041667,712.501354
10.833333,1.083333,716.748552
11.25,1.125,720.868024
11.666667,1.166667,724.863611
12.083333,1.208333,728.73904
12.5,1.25,732.497923
12.916667,1.291667,736.143766
13.333333,1.333333,739.679967
13.75,1.375,743.109825
14.166667,1.416667,746.436538
14.583333,1.458333,749.663206
15,1.5,752.792839
15.416667,1.541667,755.828355
15.833333,1.583333,758.772585
16.25,1.625,761.628272
16.666667,1.666667,764.398082
17.083333,1.708333,767.084594
17.5,1.75,769.690316
17.916667,1.791667,772.217676
18.333333,1.833333,774.669031
18.75,1.875,777.046667
19.166667,1.916667,779.352801
19.583333,1.958333,781.589582
20,2,783.759097
20.416667,2.041667,785.863368
20.833333,2.083333,787.904358
21.25,2.125,789.883969
21.666667,2.166667,791.804048
22.083333,2.208333,793.666384
22.5,2.25,795.472715
22.916667,2.291667,797.224724
23.333333,2.333333,798.924045
23.75,2.375,800.572263
24.166667,2.416667,802.170913
24.583333,2.458333,803.721488
25,2.5,805.225433
25.416667,2.541667,806.68415
25.833333,2.583333,808.098998
26.25,2.625,809.471299
26.666667,2.666667,810.80233
27.083333,2.708333,812.093333
27.5,2.75,813.345512
27.916667,2.791667,814.560034
28.333333,2.833333,815.738033
28.75,2.875,816.880605
29.166667,2.916667,817.988817
29.583333,2.958333,819.063702
30,3,820.106262
30.416667,3.041667,821.117469
30.833333,3.083333,822.098266
31.25,3.125,823.049568
31.666667,3.166667,823.972261
32.083333,3.208333,824.867207
32.5,3.25,825.735238
32.916667,3.291667,826.577166
33.333333,3.333333,827.393774
33.75,3.375,828.185825
34.166667,3.416667,828.954056
34.583333,3.458333,829.699185
35,3.5,830.421905
35.416667,3.541667,831.122891
35.833333,3.583333,831.802796
36.25,3.625,832.462255
36.666667,3.666667,833.101882
37.083333,3.708333,833.722273
37.5,3.75,834.324007
37.916667,3.791667,834.907646
38.333333,3.833333,835.473733
38.75,3.875,836.022795
39.166667,3.916667,836.555347
39.583333,3.958333,837.071882
40,4,837.572884
40.416667,4.041667,838.05882
40.833333,4.083333,838.530141
41.25,4.125,838.987289
41.666667,4.166667,839.430689
42.083333,4.208333,839.860755
42.5,4.25,840.277888
42.916667,4.291667,840.682476
43.333333,4.333333,841.074897
43.75,4.375,841.455517
44.166667,4.416667,841.82469
44.583333,4.458333,842.182761
45,4.5,842.530064
45.416667,4.541667,842.866923
45.833333,4.583333,843.193651
46.25,4.625,843.510554
46.666667,4.666667,843.817927
47.083333,4.708333,844.116056
47.5,4.75,844.405219
47.916667,4.791667,844.685686
48.333333,4.833333,844.957719
48.75,4.875,845.221571
49.166667,4.916667,845.477488
49.583333,4.958333,845.72571
50,5,845.966466
50.416667,5.041667,846.199982
50.833333,5.083333,846.426476
51.25,5.125,846.646158
51.666667,5.166667,846.859234
52.083333,5.208333,847.065902
52.5,5.25,847.266355
52.916667,5.291667,847.46078
53.333333,5.333333,847.649357
53.75,5.375,847.832264
54.166667,5.416667,848.00967
54.583333,5.458333,848.181742
55,5.5,848.348638
55.416667,5.541667,848.510515
55.833333,5.583333,848.667525
56.25,5.625,848.819812
56.666667,5.666667,848.96752
57.083333,5.708333,849.110786
57.5,5.75,849.249743
57.916667,5.791667,849.384522
58.333333,5.833333,849.515247
58.75,5.875,849.642041
59.166667,5.916667,849.765022
59.583333,5.958333,849.884305
60,6,850
60.75,6.075,849.350177
61.5,6.15,848.285106
62.25,6.225,846.974724
63,6.3,845.474368
63.75,6.375,843.814807
64.5,6.45,842.016248
65.25,6.525,840.09322
66,6.6,838.056785
66.75,6.675,835.915716
67.5,6.75,833.677177
68.25,6.825,831.347157
69,6.9,828.930753
69.75,6.975,826.432367
70.5,7.05,823.85585
71.25,7.125,821.204605
72,7.2,818.481666
72.75,7.275,815.689759
73.5,7.35,812.831351
74.25,7.425,809.908684
75,7.5,806.923812
75.75,7.575,803.878621
76.5,7.65,800.774853
77.25,7.725,797.61412
78,7.8,794.397923
78.75,7.875,791.127662
79.5,7.95,787.804644
80.25,8.025,784.430097
81,8.1,781.005175
81.75,8.175,777.530966
82.5,8.25,774.008498
83.25,8.325,770.438741
84,8.4,766.822619
84.75,8.475,763.161005
85.5,8.55,759.454732
86.25,8.625,755.704594
87,8.7,751.911346
87.75,8.775,748.075712
88.5,8.85,744.198382
89.25,8.925,740.280019
90,9,736.321258
90.75,9.075,732.322706
91.5,9.15,728.284951
92.25,9.225,724.208554
93,9.3,720.094057
93.75,9.375,715.941983
94.5,9.45,711.752834
95.25,9.525,707.527097
96,9.6,703.26524
96.75,9.675,698.967718
97.5,9.75,694.634968
98.25,9.825,690.267415
99,9.9,685.865471
99.75,9.975,681.429533
100.5,10.05,676.959988
101.25,10.125,672.457211
102,10.2,667.921565
102.75,10.275,663.353405
103.5,10.35,658.753074
104.25,10.425,654.120905
105,10.5,649.457223
105.75,10.575,644.762346
106.5,10.65,640.03658
107.25,10.725,635.280226
108,10.8,630.493575
108.75,10.875,625.676913
109.5,10.95,620.830518
110.25,11.025,615.954661
111,11.1,611.049606
111.75,11.175,606.115612
112.5,11.25,601.152932
113.25,11.325,596.161811
114,11.4,591.142491
114.75,11.475,586.095207
115.5,11.55,581.020191
116.25,11.625,575.917667
117,11.7,570.787857
117.75,11.775,565.630976
118.5,11.85,560.447235
119.25,11.925,555.236842
120,12,110
